Точность;Перебор (нс);Дихотомия (нс);
9.5000000000e-01;8.0932400000e+01;5.1632500000e+01;
9.0250000000e-01;7.2994100000e+01;5.1704700000e+01;
8.5737500000e-01;7.4767800000e+01;5.0474800000e+01;
8.1450625000e-01;7.5140600000e+01;5.1016300000e+01;
7.7378093750e-01;7.7551800000e+01;5.0986000000e+01;
7.3509189062e-01;8.2175300000e+01;5.0673600000e+01;
6.9833729609e-01;8.6427100000e+01;5.0515400000e+01;
6.6342043129e-01;9.2901600000e+01;5.0516100000e+01;
6.3024940972e-01;9.3451900000e+01;5.0592800000e+01;
5.9873693924e-01;9.5179300000e+01;5.0476900000e+01;
5.6880009228e-01;1.0260410000e+02;5.0434800000e+01;
5.4036008766e-01;1.2049750000e+02;5.0641800000e+01;
5.1334208328e-01;1.2109090000e+02;4.9730000000e+01;
4.8767497912e-01;1.2506660000e+02;5.2316700000e+01;
4.6329123016e-01;1.2941710000e+02;6.0075300000e+01;
4.4012666865e-01;1.3450900000e+02;6.0622100000e+01;
4.1812033522e-01;1.3905160000e+02;6.1344300000e+01;
3.9721431846e-01;1.4447260000e+02;5.9843600000e+01;
3.7735360254e-01;1.5189410000e+02;6.0534700000e+01;
3.5848592241e-01;1.5566280000e+02;5.9946900000e+01;
3.4056162629e-01;1.6458860000e+02;6.1301100000e+01;
3.2353354497e-01;1.6991340000e+02;6.0778400000e+01;
3.0735686773e-01;1.7877300000e+02;6.0007500000e+01;
2.9198902434e-01;1.8557620000e+02;6.0492400000e+01;
2.7738957312e-01;1.9442080000e+02;6.0440300000e+01;
2.6352009447e-01;2.0181660000e+02;6.0559200000e+01;
2.5034408974e-01;2.0936500000e+02;6.0244400000e+01;
2.3782688526e-01;2.2118550000e+02;6.1066800000e+01;
2.2593554099e-01;2.3332590000e+02;6.6998000000e+01;
2.1463876394e-01;2.4118140000e+02;7.0889500000e+01;
2.0390682575e-01;2.4951200000e+02;6.6670500000e+01;
1.9371148446e-01;2.6108830000e+02;6.7200700000e+01;
1.8402591024e-01;2.6983140000e+02;6.6376900000e+01;
1.7482461472e-01;2.8310360000e+02;6.6428100000e+01;
1.6608338399e-01;2.9650110000e+02;6.6891500000e+01;
1.5777921479e-01;3.0924720000e+02;6.6357800000e+01;
1.4989025405e-01;3.2528490000e+02;6.6872000000e+01;
1.4239574135e-01;3.4013740000e+02;6.6702600000e+01;
1.3527595428e-01;3.5899660000e+02;6.6975800000e+01;
1.2851215657e-01;3.7323010000e+02;6.6109000000e+01;
1.2208654874e-01;3.9396230000e+02;6.6808400000e+01;
1.1598222130e-01;4.1716900000e+02;7.4382700000e+01;
1.1018311024e-01;4.4321630000e+02;7.5287400000e+01;
1.0467395472e-01;4.6034060000e+02;7.4735700000e+01;
9.9440256987e-02;4.7606100000e+02;7.3416300000e+01;
9.4468244138e-02;4.9716210000e+02;7.3918500000e+01;
8.9744831931e-02;5.1911770000e+02;7.3441200000e+01;
8.5257590334e-02;5.4467830000e+02;7.3191800000e+01;
8.0994710818e-02;5.7071680000e+02;7.3256300000e+01;
7.6944975277e-02;5.9666220000e+02;7.3674200000e+01;
7.3097726513e-02;6.2782690000e+02;7.3628400000e+01;
6.9442840187e-02;6.6331100000e+02;7.4371200000e+01;
6.5970698178e-02;6.9178740000e+02;7.3113800000e+01;
6.2672163269e-02;7.2695960000e+02;7.3877900000e+01;
5.9538555106e-02;7.6512840000e+02;7.4389400000e+01;
5.6561627350e-02;8.0141040000e+02;8.1721500000e+01;
5.3733545983e-02;8.5111910000e+02;8.1999100000e+01;
5.1046868684e-02;8.8166700000e+02;8.0979700000e+01;
4.8494525249e-02;9.2661300000e+02;8.1180900000e+01;
4.6069798987e-02;9.8396220000e+02;8.0957300000e+01;
4.3766309038e-02;1.0222690000e+03;8.0701800000e+01;
4.1577993586e-02;1.0815903000e+03;8.1429400000e+01;
3.9499093906e-02;1.1300232000e+03;8.2033800000e+01;
3.7524139211e-02;1.1879014000e+03;8.0933200000e+01;
3.5647932251e-02;1.2482227000e+03;8.2135400000e+01;
3.3865535638e-02;1.3099070000e+03;8.1169900000e+01;
3.2172258856e-02;1.3759346000e+03;8.0849100000e+01;
3.0563645913e-02;1.4463589000e+03;8.0603800000e+01;
2.9035463618e-02;1.5417969000e+03;8.9339700000e+01;
2.7583690437e-02;1.6146959000e+03;8.9102300000e+01;
2.6204505915e-02;1.7265707000e+03;9.1186900000e+01;
2.4894280619e-02;1.8104635000e+03;8.9566700000e+01;
2.3649566588e-02;1.9032750000e+03;9.0822300000e+01;
2.2467088259e-02;2.0056690000e+03;8.9640600000e+01;
2.1343733846e-02;2.1019010000e+03;8.9819100000e+01;
2.0276547154e-02;2.2000614000e+03;9.1013600000e+01;
1.9262719796e-02;2.2979497000e+03;8.8924200000e+01;
1.8299583806e-02;2.4279764000e+03;9.1126700000e+01;
1.7384604616e-02;2.5443462000e+03;8.9688800000e+01;
1.6515374385e-02;2.6843079000e+03;9.3043600000e+01;
1.5689605666e-02;2.8178536000e+03;8.9120200000e+01;
1.4905125382e-02;2.9644103000e+03;8.9078800000e+01;
1.4159869113e-02;3.1368173000e+03;9.7103000000e+01;
1.3451875658e-02;3.3621319000e+03;9.8814800000e+01;
1.2779281875e-02;3.4692352000e+03;9.6856800000e+01;
1.2140317781e-02;3.6360235000e+03;9.6837300000e+01;
1.1533301892e-02;3.8450792000e+03;9.6991700000e+01;
1.0956636797e-02;4.0373947000e+03;9.7598100000e+01;
1.0408804958e-02;5.5112121000e+03;1.1188720000e+02;
9.8883647097e-03;4.5645728000e+03;9.9143200000e+01;
9.3939464742e-03;4.8897891000e+03;9.9970800000e+01;
8.9242491505e-03;5.1047853000e+03;9.9723500000e+01;
8.4780366929e-03;5.3093751000e+03;9.8672400000e+01;
8.0541348583e-03;5.8429008000e+03;1.0116230000e+02;
7.6514281154e-03;5.8769209000e+03;9.8723700000e+01;
7.2688567096e-03;6.2364164000e+03;1.0913560000e+02;
6.9054138741e-03;6.5578797000e+03;1.0739260000e+02;
6.5601431804e-03;6.9563715000e+03;1.0849140000e+02;
6.2321360214e-03;7.3075604000e+03;1.0814170000e+02;
5.9205292203e-03;7.6645397000e+03;1.0855370000e+02;
5.6245027593e-03;8.0971357000e+03;1.0815340000e+02;
5.3432776214e-03;8.4613855000e+03;1.0695840000e+02;
5.0761137403e-03;8.9785869000e+03;1.0751970000e+02;
4.8223080533e-03;9.5754339000e+03;1.0893270000e+02;
4.5811926506e-03;9.9408509000e+03;1.0796540000e+02;
4.3521330181e-03;1.0375435900e+04;1.0753210000e+02;
4.1345263672e-03;1.1071822500e+04;1.0886130000e+02;
3.9278000488e-03;1.1592495500e+04;1.0860180000e+02;
3.7314100464e-03;1.2427161100e+04;1.1078350000e+02;
3.5448395441e-03;1.2966210500e+04;1.1700360000e+02;
3.3675975669e-03;1.4629804000e+04;1.2100390000e+02;
3.1992176885e-03;1.4212755600e+04;1.1698400000e+02;
3.0392568041e-03;1.5010581200e+04;1.1664820000e+02;
2.8872939639e-03;1.6030249400e+04;1.1709840000e+02;
2.7429292657e-03;1.6751349700e+04;1.1669200000e+02;
2.6057828024e-03;1.7619069800e+04;1.1692010000e+02;
2.4754936623e-03;1.8481252000e+04;1.1685120000e+02;
2.3517189792e-03;1.9587253600e+04;1.1718950000e+02;
2.2341330302e-03;2.0627225800e+04;1.1764010000e+02;
2.1224263787e-03;2.1920840700e+04;1.1934730000e+02;
2.0163050598e-03;2.3100564800e+04;1.1686660000e+02;
1.9154898068e-03;2.4037730300e+04;1.1753820000e+02;
1.8197153164e-03;2.5279982500e+04;1.2553470000e+02;
1.7287295506e-03;2.6478637900e+04;1.2616110000e+02;
1.6422930731e-03;2.7955600500e+04;1.2601150000e+02;
1.5601784194e-03;3.0896170300e+04;1.2728750000e+02;
1.4821694985e-03;3.0970588100e+04;1.2596060000e+02;
1.4080610235e-03;3.2604075300e+04;1.2571260000e+02;
1.3376579724e-03;3.4341935400e+04;1.2605140000e+02;
1.2707750737e-03;3.6067858900e+04;1.2539400000e+02;
1.2072363201e-03;3.8137301500e+04;1.2644650000e+02;
1.1468745041e-03;4.0265286200e+04;1.2627030000e+02;
1.0895307788e-03;4.2296466800e+04;1.2598640000e+02;
1.0350542399e-03;4.4624095000e+04;1.2879680000e+02;
9.8330152791e-04;4.6971372700e+04;1.2733360000e+02;
9.3413645152e-04;4.9455519200e+04;1.2683340000e+02;
8.8742962894e-04;5.1943905900e+04;1.3557530000e+02;
8.4305814749e-04;5.4535906000e+04;1.3542050000e+02;
8.0090524012e-04;5.8784654700e+04;1.3593760000e+02;
7.6085997811e-04;6.0470054900e+04;1.3686700000e+02;
7.2281697921e-04;6.3832013000e+04;1.3876100000e+02;
6.8667613025e-04;6.7226889600e+04;1.4050420000e+02;
6.5234232373e-04;7.2373522200e+04;1.4207780000e+02;
6.1972520755e-04;7.4662697800e+04;1.4086430000e+02;
5.8873894717e-04;7.8519670900e+04;1.4061670000e+02;
5.5930199981e-04;8.2641393800e+04;1.4113980000e+02;
5.3133689982e-04;8.7030681900e+04;1.4061230000e+02;
5.0477005483e-04;9.1888166800e+04;1.4048040000e+02;
4.7953155209e-04;9.6920050000e+04;1.3916680000e+02;
4.5555497448e-04;1.0195125200e+05;1.4711250000e+02;
4.3277722576e-04;1.0740556400e+05;1.4775710000e+02;
4.1113836447e-04;1.1408894080e+05;1.4868030000e+02;
3.9058144625e-04;1.1873956500e+05;1.4620810000e+02;
3.7105237394e-04;1.2509445880e+05;1.4773540000e+02;
3.5249975524e-04;1.3170791070e+05;1.4850040000e+02;
3.3487476748e-04;1.3960288490e+05;1.4952370000e+02;
3.1813102910e-04;1.5423980100e+05;1.5365240000e+02;
3.0222447765e-04;1.5684750700e+05;1.5187460000e+02;
2.8711325377e-04;1.6401580750e+05;1.5132400000e+02;
2.7275759108e-04;1.6970856020e+05;1.4904300000e+02;
2.5911971152e-04;1.7881310470e+05;1.4828620000e+02;
2.4616372595e-04;1.8809109330e+05;1.4925810000e+02;
2.3385553965e-04;1.9795240820e+05;1.4838280000e+02;
2.2216276267e-04;2.0768020540e+05;1.5796600000e+02;
2.1105462453e-04;2.1855379810e+05;1.5815320000e+02;
2.0050189331e-04;2.3009514980e+05;1.5851840000e+02;
1.9047679864e-04;2.4225304470e+05;1.5783330000e+02;
1.8095295871e-04;2.5487163240e+05;1.5782580000e+02;
1.7190531077e-04;2.6847422800e+05;1.5717710000e+02;
1.6331004524e-04;2.8583871080e+05;1.5648400000e+02;
1.5514454297e-04;2.9807148780e+05;1.5506430000e+02;
1.4738731583e-04;3.1519439480e+05;1.5913490000e+02;
1.4001795003e-04;3.3048843580e+05;1.5570930000e+02;
1.3301705253e-04;3.5444995110e+05;1.6150930000e+02;
1.2636619991e-04;3.6816913480e+05;1.5697090000e+02;
1.2004788991e-04;3.8409911850e+05;1.5630770000e+02;
1.1404549541e-04;4.0796625820e+05;1.6462620000e+02;
1.0834322064e-04;4.2730493740e+05;1.6422350000e+02;
1.0292605961e-04;4.5130119320e+05;1.6314860000e+02;
